segment,slot,text
1,first,START HERE
2,full,
3,full,SPOT THE LOOP
3,full,NOTICE THE SHIFT
3,full,LOOK CLOSER
3,full,SEE THE DETAIL
3,full,FOLLOW THE MOTION
3,full,TRACE THE LIGHT
3,full,FIND THE PATTERN
3,full,SLOW DOWN AND BREATHE
3,full,LET THE FRAME SETTLE
3,full,STAY WITH IT
3,full,ONE MORE TIME
3,full,REPLAY THE MOMENT
3,full,WATCH THE TRANSITION
3,full,THE LIGHT TURNS
3,full,THE FRAME OPENS
3,full,THE LOOP RETURNS
3,full,THE SHADOW MOVES
3,full,THE COLOR BREAKS
3,full,THE PATTERN HOLDS
3,full,TRUST THE LOOP
3,full,LET IT FINISH
3,full,FOLLOW THE LIGHT
3,full,CHASE THE FRAME
3,full,NOTICE THE COLOR
3,full,FEEL THE RHYTHM
3,full,COUNT THE PULSES
3,full,WHERE IS YOUR FOCUS
3,full,LOOK AT THE EDGES
3,full,WHAT DID YOU MISS
3,full,REWIND AND CHECK
3,full,RETURN TO THE CENTER
3,full,READ THE SHAPES
3,full,HOLD THE FRAME
3,full,WATCH THE SPACING
3,full,FOLLOW THE EDGE
3,full,SEE THE CENTER
3,full,LET IT LOOP
3,full,PAUSE ON THE DETAIL
3,full,FIND THE QUIET PART
3,full,THE FRAME BREATHES
3,full,QUIET MOMENT
3,full,SLOW SCROLL
3,full,SOFT LANDING
3,full,GENTLE LOOP
3,full,CALM DOWN HERE
3,full,EYES ON THE FRAME
3,full,STAY CURIOUS
3,full,KEEP NOTICING
3,full,GOOD MORNING
3,full,GOOD NIGHT
3,full,END OF CLIP
