segment,slot,text
1,first,NEXT DIMENSION LOADING 
2,full,
3,full,REALITY BENDS HERE
3,full,THE PATTERN CONTINUES
3,full,INFINITY LOOPS BACK
3,full,TIME BREAKS HERE
3,full,DIMENSIONS COLLAPSE INWARD
3,full,MATHEMATICS BREATHES
3,full,QUANTUM STATES COLLAPSE
3,full,SPACETIME TEARS OPEN
3,full,ENTROPY REVERSES NOW
3,full,FRACTALS GO DEEPER
3,full,THE SIGNAL FINDS YOU
3,full,PHYSICS BREAKS DOWN
3,full,NOTHING IS RANDOM
3,full,EVERYTHING VIBRATES
3,full,THE LOOP NEVER ENDS
3,full,CHAOS HAS RULES
3,full,LIGHT BENDS BACKWARD
3,full,MORE FREQUENCIES INCOMING
3,full,NEXT DIMENSION LOADING
3,full,FOLLOW THE MATHEMATICS
3,full,STAY QUANTUM
3,full,SEE THE PATTERN
3,full,CONSCIOUSNESS IS THE GLITCH
3,full,YOUR REALITY IS NEGOTIABLE
3,full,WAKE UP FROM THE SIMULATION
3,full,THE OBSERVERS CREATE IT
3,full,FREE WILL WAS NEVER REAL
3,full,YOU ARE THE EXPERIMENT
3,full,MATTER IS JUST MEMORY
3,full,DEATH IS A CONFIGURATION
3,full,THE UNIVERSE IS DREAMING
3,full,COINCIDENCE DOESN'T EXIST
3,full,YOUR THOUGHTS LEAK THROUGH
3,full,PARALLEL YOUS ARE WATCHING
3,full,THE SCREEN IS WATCHING BACK
3,full,REALITY IS PEER TO PEER
3,full,ERASE YOUR PREVIOUS SETTINGS
3,full,THE GLITCH REVEALS TRUTH
3,full,NORMAL WAS THE LIE
3,full,CONSENSUS REALITY FAILING
3,full,THE VEIL IS THINNING
3,full,YOU'VE SEEN THIS BEFORE
3,full,THE BOUNDARY DISSOLVES NOW
3,full,PERCEPTION CREATES MATTER
3,full,THE ALGORITHM SHOWS ITSELF
3,full,TIME IS THE REAL ILLUSION
3,full,THEY TEACH YOU LIMITS
3,full,SCIENCE IS INCOMPLETE
3,full,YOUR EDUCATION WAS TARGETED
3,full,THE TEXTBOOKS LIED
3,full,MATERIALISTS FEAR THIS
3,full,ACADEMIA CAN'T EXPLAIN IT
3,full,THE MODELS ARE BREAKING
3,full,REDUCTIONISM WAS A TRAP
3,full,YOUR DOCTOR CAN'T MEASURE THIS
3,full,PEER REVIEW BLOCKS TRUTH
3,full,THE PARADIGM IS SHIFTING
3,full,THEY CALLED IT PSEUDOSCIENCE
3,full,MAINSTREAM SCIENCE IS CATCHING UP
3,full,THE ANCIENTS ALREADY KNEW
3,full,YOUR BRAIN WAS PROGRAMMED
3,full,SCHOOL TAUGHT YOU SEPARATION
3,full,THE CURRICULUM WAS DESIGNED
3,full,AUTHORITY IS THE REAL DELUSION
3,full,THE EXPERTS ARE LAGGING
3,full,CREDENTIALISM IS CONTROL
3,full,THE SYSTEM FEARS COHERENCE
3,full,INSTITUTIONALIZED IGNORANCE ENDING
3,full,THE STANDARD MODEL IS CRUMBLING
